,Cherry,Mango,Banana,Guava,Litchi,Wastage
697,16670,25579,23408,12227,44290,26868
698,43660,28520,20670,17852,23415,16090
699,38316,36245,21562,33342,46147,47855
700,47861,35040,21763,31471,49190,40457
701,41294,34192,12220,33940,46012,42919
702,9306,24736,36541,12824,23985,25148
703,28965,37485,42185,32452,42677,35948
704,12524,5597,44114,37862,25203,32006
705,38284,15512,40108,10973,49242,40814
706,24164,28116,559,36463,37254,45707
707,48388,26077,20199,38903,8857,8556
708,38623,42779,34204,48451,46988,48136
709,31565,49947,48606,38255,39170,37770
710,44768,41686,5954,31100,16598,36785
711,27621,49021,8465,22567,38467,7263
712,9518,23689,2585,10585,37745,34893
713,33485,20584,20742,22434,18001,34790
714,40180,47955,24346,47972,22393,6877
715,12113,20248,7986,6825,12279,17409
716,46997,7332,6401,40883,39264,16997
717,13686,15841,30221,21397,25757,7518
718,36128,40832,44585,47738,36763,45747
719,41217,37731,23334,28507,10004,40536
720,16390,34978,5905,20121,5744,5418
721,24657,44790,48776,27988,9369,18005
722,42557,46747,12270,20220,41329,46746
723,32242,8894,46045,49564,34127,46521
724,33489,41181,6080,8649,22274,22163
725,34620,11354,21212,5567,44578,49623
726,13421,7219,25594,39276,22823,10415
727,30641,13938,43142,36519,37993,21716
728,23406,42756,31756,44487,6755,36839
729,41882,43124,14878,43815,46706,31078
730,32214,24705,39812,38746,33829,15169
731,32285,47703,49507,43927,8161,8954
732,37269,10008,28382,20153,21812,11888
733,46387,36044,8025,7728,27383,39040
734,41334,6309,7837,41988,40376,11080
735,13304,21569,36241,5486,32330,37314
736,14855,17349,48200,35856,29094,22050
737,7152,45189,28676,35581,11015,11417
738,11509,27613,4238,5494,48544,14380
739,8790,14731,40548,9164,40147,5181
740,12500,24583,17956,8849,23462,33001
741,8292,44878,20690,16233,24953,25864
742,30418,5435,37074,26297,24722,28037
743,17553,33248,1946,12581,26496,44527
744,32308,36319,37867,29066,31973,22401
745,43628,30878,34236,31356,14341,11705
746,39147,11375,48931,31049,11676,7076
747,35141,40254,25949,13659,14884,44286
748,15299,11815,17563,29398,11954,12709
749,22913,39249,44307,38699,45728,35867
750,23660,15072,35139,33457,28633,46286
751,9929,5507,45067,48472,17833,47523
752,22854,32652,47638,10836,23991,24533
753,8009,17473,39552,15113,32449,17771
754,11309,22111,31177,21813,27226,41201
755,11771,45435,16537,18498,22866,5916
756,34457,12420,48788,44850,19484,19467
757,26853,7255,46424,15079,18015,13787
758,23106,20261,3531,47380,42251,20619
759,31872,28217,3235,12117,45044,37747
760,31684,33376,10591,34046,38065,34120
761,14236,37083,49844,19913,40622,22491
762,41930,37539,21446,8547,24173,30043
763,46297,14898,23543,13366,18138,36273
764,44882,33758,13830,25161,47668,14855
765,48889,19843,33328,18544,24267,18641
766,32820,14300,26976,15133,48757,35406
767,26888,9852,539,36848,40258,39599
768,48330,16438,27469,13655,16201,32053
769,30507,36212,28850,44768,38581,15813
770,24802,37410,33862,48253,26483,7010
771,28814,25028,17284,36041,27693,18104
772,34179,25764,15100,15427,35481,34868
773,10285,41142,41456,43166,18788,42555
774,15781,32875,10414,31268,31575,46607
775,42952,40232,13973,23590,33647,24678
776,15104,15259,3785,41210,21459,23377
777,33402,23165,49040,30994,18674,28523
778,32464,14301,24121,19674,20029,20821
779,48319,34471,2758,5385,13602,29403
780,18672,12731,21000,16619,43110,45884
781,47192,32446,45575,17481,13914,47086
782,26921,21215,25025,14427,23001,39526
783,48671,32297,9632,24065,17670,14732
784,48738,38973,12905,9129,27539,25699
785,23424,48748,41581,19665,25377,28999
786,14024,11762,31507,24564,49022,42692
787,36026,20267,21177,28021,10499,19070
788,39969,20152,16115,13945,24857,49203
789,30230,20354,29576,37582,48187,49129
790,9328,5754,18787,32547,29924,46706
791,30543,42931,30834,39203,5781,48311
792,6688,34508,13979,22583,29417,9450
793,9090,21820,9760,32808,46848,22169
794,39837,11635,1662,7304,45882,35681
795,11964,9004,28416,19625,23980,31780
796,15738,17419,16127,43455,12893,9802
797,10853,20899,25989,37275,29764,38451
798,23313,49447,24285,48453,7652,38774
799,9628,46316,49543,43487,35342,9252
800,14336,46335,12295,35324,35333,33606
801,5460,28642,23357,25516,17789,30994
802,23368,26664,4459,40540,29104,32179
803,22895,30208,36331,39243,38795,17255
804,29199,36652,1612,27004,36655,8388
805,14626,25245,13163,42002,19540,16880
806,40660,48308,15082,45983,24127,19271
807,6418,39518,32387,38388,45368,18532
808,38228,16860,41229,39856,8727,25958
809,14119,10170,27489,48103,13273,6940
810,44062,29493,19836,35572,42324,31693
811,10299,20813,31873,45603,32794,44016
812,20129,40084,27829,38494,20892,26467
813,40933,45388,49945,26419,15902,37373
814,26308,37033,46848,26736,18702,10002
815,36903,35223,29974,14216,12610,45426
816,24044,48082,32542,39428,16955,24337
817,7477,28930,27556,7955,39709,42335
818,14769,35912,32003,11323,30548,20143
819,45731,22939,46463,5055,49025,26055
820,33722,36678,27321,5820,48176,25004
821,16770,18135,6768,5937,9956,42772
822,24333,38858,19078,47866,22352,21770
823,6928,29137,37545,36869,39435,35946
824,24682,26543,36658,43467,22688,38198
825,24404,18845,24690,16342,10314,17590
826,35913,25653,40196,14705,22567,17024
827,22213,40183,13574,9158,14284,44683
828,49681,48022,28174,22421,13876,34613
829,44948,19723,22211,25591,38544,17915
830,46202,47635,49235,16212,24146,22012
831,31303,47683,44094,25381,47563,25424
832,9973,25129,4473,14894,40328,21252
833,25805,16073,49791,6781,35097,11394
834,19658,14539,25060,22900,26687,10864
835,13905,36991,739,23168,28487,5798
836,46298,43550,13058,44043,13998,9697
837,49911,25671,7966,22053,25614,37928
838,46477,48025,22621,13637,36452,47878
839,44645,31017,11341,30030,18592,29624
840,39316,41966,42576,34110,29446,37337
841,17737,6331,4562,45113,29466,40466
842,19021,23073,7661,41880,33367,10921
843,37202,7398,44786,19915,34377,47080
844,32823,22759,33205,49084,8397,45080
845,18033,25796,47149,32562,25728,36524
846,40933,11815,34339,43574,42297,26123
847,6009,12150,31376,47281,24289,41411
848,26412,31867,1762,21033,10683,46846
849,26235,39222,32037,40163,6127,39441
850,25013,35603,3780,9482,21423,45123
851,19427,7474,44673,6674,30316,24146
852,12433,17886,48617,5518,9061,38720
853,44235,44019,8421,10605,46583,47683
854,18421,18837,2622,30669,43845,37793
855,47735,47548,20915,8678,6776,20201
856,48314,34252,39677,46716,34950,8904
857,41281,18245,12316,24693,28083,46443
858,33265,48721,1184,10426,48184,36029
859,33341,16247,13400,32444,11067,49970
860,27378,43105,47441,20137,13322,41640
861,33555,12185,40714,5459,40721,35144
862,17367,30566,33324,16449,18466,7138
863,49209,21054,20974,23404,5113,24667
864,33959,7738,6309,5467,18231,16652
865,12521,5405,23561,37359,5169,34036
866,27944,28933,30326,7463,6909,6473
867,41901,34215,10574,34444,44568,48398
868,22052,34341,45936,18802,20972,33984
869,29835,31927,20558,10943,26666,48809
870,48419,6686,17247,43363,34450,26630
871,25237,21002,20930,15682,43912,34140
872,27577,14544,3806,42559,11715,45619
873,6017,49076,48133,26018,38086,5230
874,20755,36441,20149,40348,22098,38242
875,47288,43478,20878,27782,45487,47249
876,6457,30574,26053,47104,40433,30109
877,16538,21241,44856,32088,19407,45739
878,22240,27270,17368,22646,36664,46684
879,28121,30526,1284,20406,11939,33178
880,47063,42518,3218,26880,41376,17584
881,34726,46010,6105,23806,47052,43592
882,10454,42116,8351,10785,11656,22224
883,11464,17093,14185,29880,19664,20052
884,39575,7302,8452,34812,28486,39678
885,12142,28918,46837,29554,24059,31379
886,30481,49571,28601,46411,18701,39204
887,19248,40599,45947,44811,25315,9842
888,12159,12201,3506,24844,7475,8667
889,27178,26158,33091,6046,30036,19547
890,37326,36179,5451,45252,31553,6910
891,41810,25793,22049,43441,22706,5236
892,16446,20126,14242,8792,43812,35983
893,45213,39369,41994,44750,26846,25599
894,20434,30522,40603,9205,29311,30733
895,43522,32065,13059,41843,44052,5748
896,24748,40745,47962,26485,24897,37491
897,24371,39852,41545,42742,47056,32751
898,44052,22858,33046,37860,25393,33738
899,28037,47223,37049,12679,31752,43038
900,11289,34781,1690,8803,33667,46140
901,28624,25397,13329,45342,39533,7887
902,19621,37512,42714,12071,37090,6185
903,28646,38345,17457,45870,23584,43629
904,29355,15006,42956,23459,35802,26388
905,30231,46740,13366,49468,8619,21677
906,40342,6472,34394,33487,19253,29399
907,23819,13057,46431,26603,29619,42375
908,12811,12402,46357,18518,6294,39468
909,44867,45595,21907,8227,46359,42193
910,8315,16697,9734,38023,18577,9740
911,37265,33159,10387,10653,21976,40797
912,46001,41227,32677,33500,33907,8010
913,12961,15845,601,34955,32424,47160
914,14970,41469,32316,10897,35349,8933
915,35191,5106,49677,27712,41093,37809
916,32097,35923,18157,42313,37861,29705
917,19098,23047,21457,29333,28833,32090
918,9419,43008,16681,29668,5261,6891
919,11115,34624,35136,8478,38831,5721
920,40700,11085,9102,22932,43002,21325
921,14616,38524,17537,45753,11403,48465
922,10372,25950,9035,14236,39905,34690
923,43577,31469,23930,18358,44098,49817
924,42663,8393,11799,41666,43638,38919
925,29179,11809,34525,46875,12622,33619
926,28901,24670,29044,20552,36772,23121
927,35460,39301,5746,33696,6843,24551
928,33297,19146,37805,19089,30082,14145
929,27434,38687,11988,10375,34219,23390
930,30682,43065,9850,21052,43779,6009
931,28575,22482,40253,47241,33335,5562
932,26070,20521,9513,47644,41035,30229
933,40319,26293,10575,25607,37787,29251
934,48127,21975,49840,44969,30837,35637
935,9785,32423,35555,29295,48775,7238
936,21645,45204,25851,32421,11710,49036
937,30389,22740,18116,39166,16779,17548
938,10825,7063,1453,29740,31163,38313
939,48023,7102,4323,15645,16385,35654
940,16873,32561,24501,24615,8438,22846
941,32952,24453,34805,38880,34296,25615
942,46234,37751,13450,13827,13350,11903
943,49826,6574,23374,30922,10887,5430
944,35195,22573,3522,37411,20991,36187
945,22747,12341,30140,43113,21852,45699
946,25675,36203,29021,15784,5772,48198
947,6949,45465,26459,36481,48999,13955
948,28964,6283,10929,25408,6066,43446
949,30482,19581,38746,36332,24671,23143
950,38980,19019,29375,44564,38027,44172
951,10220,48680,20221,40722,23034,45351
952,38312,46576,26551,34564,23789,38357
953,31459,31707,5124,29911,15371,23993
954,30482,34540,41368,46964,48420,43212
955,33922,40970,5796,43198,10483,20979
956,47252,33680,20987,17658,28123,6340
957,19313,23451,13474,23511,15993,21703
958,8008,30954,11723,37103,45691,22292
959,30116,35333,49675,26737,8016,24463
960,5339,21573,38985,6018,6407,47517
961,16963,8457,47859,21371,25942,49421
962,26036,37043,2791,15039,24461,46587
963,38930,24559,45711,10183,9217,35160
964,15619,29927,21556,18058,6291,38630
965,33492,49325,42489,26458,20598,43237
966,11773,48925,34108,42787,15779,41674
967,6770,40479,34420,43104,39993,47047
968,18235,40505,43531,10997,35012,40739
969,29220,39754,3498,25718,8282,21243
970,27900,17281,48035,7052,7319,42014
971,30723,37559,17390,21024,40791,23531
972,13935,31147,20199,46960,32949,17079
973,5493,27879,15275,12726,8020,44155
974,13599,44352,19206,23624,12359,39069
975,35615,32745,29909,15718,21131,37961
976,20595,28787,30582,34965,43402,12027
977,29813,38517,13407,21100,24630,48980
978,7224,40721,39382,30955,27175,37080
979,15218,29712,44041,28730,9005,36376
980,14278,11099,32091,48655,14878,35341
981,11271,13275,27906,19451,9190,10589
982,47328,20372,19022,35070,42488,31237
983,44092,27045,7270,38491,29239,16626
984,24325,40023,12912,6042,19485,28501
985,7924,44419,37839,24246,42995,44568
986,43325,41581,32596,28626,36516,36936
987,29374,13992,7722,42517,42926,20459
988,34174,18829,45915,23517,36235,10023
989,37437,45006,49564,34726,19015,26240
990,26775,32058,43453,5032,24519,42743
991,40929,21645,48036,34316,14668,40873
992,32480,34709,17572,28861,31475,37280
993,35199,47924,42995,41172,48645,28136
994,26681,11703,33032,10412,44182,34195
995,14930,38155,17319,23307,7417,28702
996,20483,5603,46666,27619,21465,31108
997,11814,8276,14072,11692,26647,19406
998,40689,18966,29898,5282,15255,33151
999,35095,10068,11588,7373,12772,24080
1000,35584,23788,35515,25732,12770,5643
1001,34619,27081,15996,39221,30866,15239
1002,20989,30931,48048,49110,25842,9638
1003,16910,13218,23467,24015,41026,39343
1004,21329,41265,9312,41987,48926,47407
1005,25433,35395,1647,26874,42788,7713
1006,11676,27172,15896,39426,49573,27825
1007,9320,10010,27270,26871,43562,49963
1008,27698,27347,33016,6227,14888,19932
1009,17624,35312,24222,11844,16548,42259
1010,35021,37952,40298,49092,41212,41973
1011,42652,32717,39157,11855,30084,29307
1012,6159,48996,9129,49782,8797,26296
1013,48260,20112,33386,28073,48622,13390
1014,24872,31094,6323,44572,39375,21080
1015,12220,44595,537,15132,45195,16953
1016,5716,10686,45635,47371,9183,46486
1017,46069,10237,503,31909,38011,16226
1018,43224,32050,13969,20080,47373,42060
1019,30012,40935,33180,17861,33306,13515
1020,48495,19143,31570,30349,6557,11762
1021,7266,48083,39590,48953,9582,6542
1022,41636,5830,45099,7303,7414,43766
1023,32221,44221,48012,28073,19856,24021
1024,31371,9679,44263,46729,21348,23279
1025,8517,16865,32506,45661,13129,32824
1026,30906,32801,1851,14985,49976,22928
1027,14966,37464,6296,6220,14872,47838
1028,22047,44161,19285,46282,37819,6163
1029,26073,16402,10697,31073,13861,27634
1030,29902,27840,15954,45270,43835,26657
1031,38162,24523,10266,32879,9503,33080
1032,20594,11094,2566,21411,31566,35493
1033,30396,32463,32650,15532,46630,34783
1034,8337,40061,49706,32182,16495,31319
1035,9735,7332,30462,27420,10458,24789
1036,35759,20703,46003,29832,14091,41108
1037,49059,32474,4777,12602,41885,17512
1038,44220,9294,13000,38652,8488,43155
1039,31624,9662,8895,42329,45369,44174
1040,40778,33825,25940,33456,31558,10605
1041,47689,31952,10476,40920,48466,35406
1042,36322,43443,37003,42524,45017,19110
1043,34212,25056,49348,24681,10775,37960
1044,40037,22440,18466,35531,19191,49214
1045,9345,40811,7042,10865,38679,46180
1046,15685,33435,40331,30238,12601,44538
1047,30058,8001,40211,22547,45123,20728
1048,31346,7045,28499,34000,46110,12858
1049,46067,17984,47882,17439,14682,20190
1050,13010,34511,1086,23803,31257,32837
1051,46052,16695,25572,18551,36768,28330
1052,27118,7224,14777,49334,5643,9455
1053,31605,37904,43206,46406,27296,42531
1054,24183,38279,48636,29802,15417,30853
1055,42417,35402,43461,38226,30909,7460
1056,26845,43998,15465,34908,35619,10078
1057,27123,23398,36193,43619,17488,28169
1058,9034,10116,18405,19830,15317,33675
1059,37132,43815,25852,19700,49655,22508
1060,25806,9451,32708,26863,32290,10096
1061,21648,37316,45668,40810,6208,22007
1062,37519,11944,15466,37979,26190,41579
1063,46283,39488,763,30428,30532,11435
1064,14516,10992,8089,27096,24988,6116
1065,32712,9133,21653,47857,14268,24448
1066,6453,19529,38855,44880,14532,6014
1067,31710,24813,15399,46411,27839,11918
1068,8035,38562,2230,12920,48852,5081
1069,17563,26930,5535,5063,45180,45407
1070,6161,28513,15976,49524,14499,24114
1071,37988,36703,3044,45073,49326,46646
1072,23121,35466,48621,22866,35207,30954
1073,37864,49689,33645,26929,23520,16311
1074,14112,49103,39708,27794,38166,48212
1075,18887,44456,42552,22066,7952,39544
1076,6767,44642,23832,39744,20145,25629
1077,37727,37438,22532,48346,8758,31261
1078,29691,6858,13082,7372,24521,16468
1079,33892,28316,32442,43103,8874,36451
1080,48806,38278,6826,9179,20355,5517
1081,5090,24015,29680,15450,35773,44115
1082,26601,34954,26380,9053,49280,33244
1083,7114,11955,47958,5998,18091,14010
1084,24759,13462,19257,15007,45860,6759
1085,46733,33412,34504,14943,25575,47773
1086,30820,27902,42543,11539,10836,31850
1087,17341,24513,43455,22597,9932,32663
1088,35303,46037,30245,41705,36966,5576
1089,8820,33077,40132,31188,48531,29421
1090,20394,15897,14226,25058,14251,45869
1091,22672,41499,22075,43780,7926,49255
1092,28395,49251,20109,14858,6721,42782
1093,44384,34680,13083,18658,40248,43441
1094,20552,44657,8833,12450,23655,6743
1095,35071,12492,43576,49168,17471,25721
1096,21551,26494,25386,29086,32556,30392
1097,21355,21728,36137,20419,19702,28701
1098,11064,11498,35791,6691,24412,8104
1099,5011,20994,17600,16479,14374,6944
1100,47545,38765,2317,21842,11838,15574
1101,9144,9949,17475,9694,8802,25108
1102,11092,31430,14692,14993,36552,10810
1103,14381,39110,18078,40582,44934,28514
1104,14204,33699,10443,35530,40327,11625
1105,35460,22251,24154,22246,21560,16275
1106,6510,25296,10204,10365,12127,16537
1107,16805,20017,37739,18156,20839,44365
1108,45050,7906,17055,34772,44910,26617
1109,5877,18483,20889,20830,35282,25834
1110,42623,14976,15244,30721,29802,43593
1111,21615,6740,23327,11293,16655,12884
1112,14948,24959,12366,21211,7077,48371
1113,32100,34158,28464,15489,12786,41347
1114,49568,36733,34171,44243,43231,49363
1115,25384,19712,29142,19203,39925,29456
1116,22728,8384,22083,40201,46951,20106
1117,33454,43058,24375,7455,19639,7903
1118,44567,36424,47507,29216,49359,34028
1119,19697,15200,41363,47372,46925,17137
1120,36804,17267,33052,31158,45569,20728
1121,7541,42505,36121,34564,41391,5161
1122,12751,33417,41903,32295,27831,26280
1123,46317,18960,12432,44876,29672,41379
1124,18465,17535,38763,37813,13355,9515
1125,7509,40127,13077,34675,10972,33991
1126,23594,35486,20340,13020,49008,25126
1127,21175,18055,43494,10505,13234,14121
1128,48804,32014,27031,30098,26927,22883
1129,45300,19052,14377,33309,21744,46929
1130,13692,44609,16115,33634,38070,40764
1131,41422,28747,18087,18625,25845,15275
1132,22384,43008,43103,23153,28067,11798
1133,10294,23065,11259,11769,28204,31913
1134,18630,43538,33362,49759,40089,13803
1135,12738,36696,41426,8802,46612,11897
1136,40586,43097,967,24670,25491,21749
1137,31664,41416,6330,20741,29623,39255
1138,39011,45921,2471,43278,20467,8688
1139,45163,49037,7069,49682,42146,7433
1140,40508,19854,7981,18512,48052,47249
1141,20165,43453,17517,21194,12728,46906
1142,13916,29806,49880,25251,26414,12629
1143,30612,39706,10410,45298,42418,36093
1144,16309,7670,22316,41398,5617,45769
1145,20434,48955,25580,17671,10179,36857
1146,41806,11596,4509,36295,12935,20975
1147,10884,27816,47601,37558,20624,25083
1148,29603,44156,35850,23477,45837,10826
1149,8895,14626,20581,11617,43939,8437
1150,11453,20866,33970,46013,21404,19212
1151,11725,5478,18232,44338,7212,40860
1152,12067,18926,8855,32117,18233,45605
1153,11622,24091,20250,13510,47126,43287
1154,49303,22613,18445,30242,6318,42083
1155,36263,43433,38929,25878,38679,10085
1156,45735,9778,48065,16077,15976,17033
1157,45517,47142,42059,20000,47229,48046
1158,21970,27354,5735,8784,46214,26244
1159,6492,13747,7101,41992,46516,48857
1160,15326,39242,25714,16926,41476,40485
1161,48856,25633,1855,18100,13744,45681
1162,20307,17642,37219,14697,47201,11520
1163,26088,32351,3611,26419,46373,48739
1164,17762,38526,14309,41047,15324,7053
1165,41765,37804,22732,7833,10782,18254
1166,10059,19409,28730,42010,28393,7691
1167,7105,27506,23914,29100,6367,14338
1168,49949,23455,42147,11128,29432,18687
1169,46202,26539,14044,12445,15050,36089
1170,6860,25553,43394,20230,43817,16153
1171,47373,24307,43224,6492,14357,10814
1172,49833,12522,3369,9700,31288,37022
1173,38162,49026,27777,21733,34087,7932
1174,13542,23547,21653,24818,41759,28983
1175,21293,29625,34629,45204,46529,13484
1176,40377,20413,5582,33022,17793,18123
1177,30550,14547,15772,24788,39609,40980
1178,25681,30738,40150,20065,43621,36136
1179,40929,36786,28144,22431,21373,46714
1180,15369,31744,2181,33156,36349,15017
1181,26340,35156,15657,32911,47389,18868
1182,30239,38660,31252,6893,27945,19668
1183,47890,19745,16857,7120,13781,46099
1184,25748,38632,10363,25422,26199,34439
1185,7986,43347,20956,35672,8484,7519
1186,36768,42774,20269,29570,34061,42399
1187,16102,12791,16688,30697,37900,7729
1188,28570,31403,43800,41463,31552,47374
1189,10216,33032,28111,19685,40525,43945
1190,26582,13470,11811,35319,7200,47236
1191,26664,28844,3488,24742,18221,40491
1192,31405,5751,7511,28020,5235,31399
1193,21085,28180,14255,33169,21377,48797
1194,47332,14236,15234,21102,49348,48558
1195,8709,12151,5178,31965,23412,38162
1196,9099,20865,13028,26981,16534,13449
1197,47481,9108,35797,42732,11507,39629
1198,14206,32196,3823,6406,45440,42380
1199,35269,16596,48509,30488,26083,46590
1200,40794,43843,6554,5287,47019,44445
1201,19980,18555,18479,48694,41324,33894
1202,14765,39696,1400,49596,16495,31065
1203,38400,43519,15668,33573,13781,24990
1204,7068,31654,49896,27423,26058,28703
1205,34418,19920,21313,10894,27310,13662
1206,47339,38180,42470,13949,29114,45048
1207,33813,12167,17581,28020,27397,35481
1208,49067,13552,842,49756,40944,38250
1209,18294,45956,10125,31491,48319,39581
1210,18046,14799,25536,24190,24071,5848
1211,16384,45892,13627,5938,39486,46506
1212,12176,6973,43879,17210,27137,24153
1213,40281,31851,3866,23414,32498,39641
1214,37696,44362,22075,10361,7936,37499
1215,28923,33503,49005,22365,18978,24423
1216,16116,43029,41177,19058,14508,13569
1217,8064,20524,45917,14252,24444,13909
1218,31574,10482,40943,46525,15637,46918
1219,25329,39262,44894,22238,46622,45236
1220,25215,25704,14714,16599,12806,7312
1221,30606,47027,21278,36211,20829,47048
1222,19596,32682,27133,30277,41800,49558
1223,8282,29508,22755,7641,30147,31644
1224,33341,26253,18322,28741,43609,40428
1225,43969,10074,39600,31364,13172,19464
1226,15064,31123,22190,5350,36391,49189
1227,33046,30282,38610,29328,27982,22077
1228,30126,28150,37266,30817,37901,15595
1229,38163,42827,13647,38175,15417,36838
1230,25029,31155,36661,27200,45964,23245
1231,20340,20599,6617,30858,48799,34818
1232,25240,37211,35243,18912,20341,18325
1233,9518,30603,5438,45419,20717,15488
1234,27650,25716,2723,27033,29893,44463
1235,5972,25158,36492,27744,19477,28593
1236,21599,20671,14117,22211,43768,46616
1237,35898,21229,33377,6793,31081,29407
1238,20827,26043,12823,5897,36817,20353
1239,9205,8555,1116,45710,14387,28677
1240,6439,15546,38003,25580,34542,34736
1241,37161,20085,40745,16789,48631,5497
1242,7004,45324,11499,17555,38155,19983
1243,28941,6424,49890,28613,14529,5036
1244,47946,43607,12517,25844,35990,33367
1245,49909,18967,2294,41352,23033,7401
1246,34606,9907,33904,25344,12260,30347
1247,29663,26352,35809,39047,31618,12310
1248,12010,33486,37344,26883,38349,25508
1249,19131,18389,15041,16596,47457,23743
1250,41038,41277,11191,37099,24525,9159
1251,38129,38049,28832,44584,23036,12237
1252,49037,17577,26223,21226,48724,30988
1253,22046,37292,33030,39488,20022,36104
1254,10151,17850,41951,8265,15658,21471
1255,36217,48995,29092,6168,36133,26272
1256,8659,15849,42473,48429,12581,39609
1257,25939,31867,11878,8995,46665,19960
1258,18114,5660,33302,8083,39306,15209
1259,49459,18052,11617,12374,8615,28220
1260,12251,33818,27529,17509,39074,47139
1261,15287,15736,31097,19745,19284,32122
1262,48004,41986,31937,36306,30786,33566
1263,35256,47924,28874,30766,26759,14645
1264,23317,32341,42951,31249,47713,9117
1265,22837,44034,19980,6681,38385,33028
1266,6770,49442,11437,46927,16398,41200
1267,14312,39369,39102,49124,15815,42477
1268,33451,24258,32656,25574,19163,44032
1269,37675,29274,4348,12600,20238,44543
1270,19937,14899,41103,45174,36880,41974
1271,7145,11415,15047,36244,5692,8776
1272,19188,34554,47343,19573,35885,33327
1273,14571,19794,48063,49894,43228,29150
1274,22138,44709,11696,14013,27604,31266
1275,13301,12688,31981,36917,12126,21266
1276,28355,14719,14493,47107,34932,41542
1277,35266,16264,29018,22140,37900,34575
1278,16732,7499,4868,14775,26283,17701
1279,49257,21578,45404,8198,48138,10377
1280,16191,36203,37258,15108,22417,12859
1281,48038,42740,23874,24326,18101,22899
1282,25924,35287,16696,33400,42470,5584
1283,25636,31035,18414,20646,6416,40264
1284,28286,33870,37060,38821,15247,7918
1285,39601,16557,17911,41452,14067,34658
1286,44957,32868,15073,9523,44109,25329
1287,41810,49488,34071,24085,48612,27504
1288,27671,33452,37647,38049,29684,5166
1289,12360,27994,36174,45338,18591,27786
1290,32566,12371,8514,34507,29586,17656
1291,5169,18999,32745,37417,35708,38578
1292,21307,36066,16435,48273,42487,14593
1293,39133,40693,16035,34008,39920,7465
1294,27854,21422,37979,9900,39024,25964
1295,11566,46370,9046,42085,44390,26168
1296,33670,28797,8496,35048,31459,29035
1297,29715,28851,14304,22141,16565,19668
1298,38148,17626,15976,30943,36598,17759
1299,41014,47766,17336,29335,36610,24486
1300,15295,23478,48808,29945,26092,6456
1301,11812,42397,16530,35481,6267,32816
1302,47175,18997,47922,24902,6048,8896
1303,33941,23137,22869,46998,28434,49389
1304,25497,32128,10915,43002,30450,11780
1305,46606,6609,43898,44069,23287,10765
1306,20952,28050,14462,37089,13347,47496
1307,28178,27650,14185,16838,12514,37223
1308,19460,14492,20393,28350,12861,6017
1309,17137,18237,12561,12516,44079,29574
1310,25241,30942,48312,23547,17888,44341
1311,25711,42007,14899,19347,15994,33588
1312,26204,22487,24732,26304,9053,37953
1313,19765,48084,46056,47084,7004,41430
1314,49517,23051,1934,44967,14549,7177
1315,48454,28484,34496,23732,14919,12419
1316,39372,8807,27090,22498,9803,6823
1317,26261,29750,42675,47077,13496,33834
1318,45271,34378,15636,33703,20905,14174
1319,19496,33168,22632,36152,43360,10177
1320,46668,24845,44940,39143,15993,18027
1321,30386,33350,1827,44714,32963,10128
1322,37508,11255,4491,8324,42674,44733
1323,12542,6885,7172,5352,30326,14268
1324,26431,43635,34151,15941,5462,40673
1325,17575,49943,3485,24311,28526,31300
1326,23508,13750,46185,28836,40344,29931
1327,32158,19922,4953,37178,34465,8930
1328,31086,14810,36195,15230,7589,46013
1329,42809,47028,24456,20521,24327,18392
1330,23358,41194,13641,36591,39903,5416
1331,44193,6084,34714,39971,46646,17881
1332,29870,40056,43460,28849,33425,18448
1333,11208,27601,47156,29683,34213,14433
1334,22869,42252,34157,21812,20829,31332
1335,18561,16204,9973,39713,33948,6687
1336,9435,13168,45749,44937,48341,18678
1337,18317,24351,21304,10353,15661,46049
1338,48606,19726,9580,7566,17372,31897
1339,6043,31310,42378,32365,41417,31025
1340,17763,19452,28752,26804,44105,33206
1341,18529,36820,9248,26081,36048,45309
1342,25133,39028,21355,47891,11770,24985
1343,26118,5467,32087,27160,40751,20011
1344,25002,35534,27877,48516,11088,29031
1345,26461,20384,47804,35803,34909,44118
1346,7404,14035,25648,8662,9469,32231
1347,28782,48283,19690,14145,43378,40560
1348,34896,43254,6337,34345,46198,36118
1349,48323,32191,48259,5220,41367,15654
1350,23917,20219,9223,34385,22550,24340
1351,6654,10611,49720,23439,27467,10496
1352,44564,23886,8924,14178,5110,30738
1353,44772,23202,22665,47616,17567,46582
1354,18560,41191,15736,33494,36309,38658
1355,46513,20752,18314,16076,21730,18712
1356,21633,9843,21247,27488,35291,41386
1357,10999,49810,11010,23157,41345,7195
1358,40917,6247,33632,43363,9913,44232
1359,44147,32275,27258,32515,49210,27002
1360,20455,5195,2295,39928,31451,16425
1361,29476,29841,12831,39506,14073,24505
1362,33758,12076,40804,24292,36569,39289
1363,7604,37887,17275,15775,28983,23672
1364,28591,30266,8835,28474,5754,41800
1365,24949,29645,16443,8631,38096,14148
1366,18838,29879,17700,12390,29144,44872
1367,30101,7785,24176,32364,49439,23711
1368,15077,31746,12672,18446,16328,38026
1369,35716,8803,26012,12903,37939,11536
1370,35605,19337,47859,43622,6210,5167
1371,9703,46398,35459,37092,16837,47965
1372,29705,16821,43828,14165,21727,35402
1373,5967,42701,28462,46569,25580,43894
1374,42080,14207,29711,49980,11077,9516
1375,7375,33086,34882,31151,41757,32157
1376,34568,42457,42499,47860,42859,28958
